"x","y"
-1.491864,52.446845
-4.604624,55.443232
-0.39638,51.46116
-1.552796,52.29226
-0.144532,50.836519
0.99975,52.18764
1.136217,52.058666
-0.17069,51.2311
-3.886907,52.74203
-1.51426,53.84953
-2.548593,53.114534
-1.80155,54.988141
-3.34764,51.58539
-6.46092,53.201757
-2.792764,57.436629
-2.486191,53.746286
-2.276484,54.925298
-2.352125,51.690555
-3.879247,55.65248
-3.736282,50.548687
-0.932844,51.461151
-6.921993,53.133114
-0.022207,50.973031
-1.661492,60.259221
-4.066593,52.339909
-4.762578,51.981568
0.003476,50.878365
-3.458476,56.423971
1.3163,52.6175
-1.366996,53.635977
-0.502281,51.61225
-2.93034,54.864836
-2.442566,53.45997
-2.03782,53.509853
-5.282698,50.22256
-3.023149,51.679084
-3.78251,51.06118
-0.651948,53.602109
-0.67664,51.91852
-2.944033,54.309722
-4.111786,55.790155
-0.349154,51.153388
-7.659095,54.335534
-1.332146,53.733705
-3.873099,56.047958
-4.020285,52.359651
-4.433234,56.347545
-2.342563,53.730289
0.642216,51.216407
-1.84619,53.88419
-1.281227,53.612742
-3.33623,56.33848
-9.314061,51.98204
-2.010726,52.609437
-3.837138,55.729824
-1.991989,52.696585
-3.551595,50.753849
-4.540078,55.850482
0.041499,51.069312
-1.420568,53.260244
-0.248291,51.949618
-3.0293,53.0648
-1.166295,51.359586
-5.571086,56.69541
-2.824864,52.510546
-2.9921,51.13123
-2.796788,53.433553
-0.126282,51.241853
-1.348371,51.831808
-0.6848,51.3421
-1.131798,53.380741
-0.26312,52.56917
-4.269283,55.785795
-3.970987,56.109303
0.14367,53.21444
-2.957469,54.281693
-3.711376,55.162071
-0.71241,50.990795
-0.66545,52.33582
-2.467804,53.676689
-2.280047,53.566932
-1.556975,54.034233
-2.115737,57.224124
-0.78641,51.05482
-1.845103,52.361966
-3.251044,54.71822
-3.875102,55.62975
-2.937488,53.421068
-1.60692,53.11518
-1.042034,51.411834
-0.60981,50.98996
-1.32073,50.90162
-3.95513,50.787635
-3.0426,53.1103
-3.281494,50.916353
-6.66282,54.33969
-3.99451,51.77863
-3.60504,56.17159
-1.099098,53.89381
-4.100474,53.012025
-1.999735,53.36929
-0.011196,51.82308
-4.602067,50.496463
-3.780989,51.773643
-0.39321,51.54402
-1.961519,52.247105
-0.171119,51.174678
-2.181148,55.835199
-1.312221,53.697238
0.015151,51.034883
-0.467252,51.262251
-0.222504,51.291827
-0.67813,51.55329
-1.987409,53.378637
-2.788188,57.370992
-3.894027,52.577364
-1.813611,52.556793
0.507205,51.38534
1.9317,50.4078
-1.185368,51.466994
-4.998568,51.761142
-0.81563,51.367593
0.547984,51.386207
-2.171535,52.471357
-4.5204,55.473566
-3.77286,52.07893
-1.53741,54.81366
-2.632596,53.653511
0.077682,51.544073
0.136636,51.470926
-1.281777,50.700257
-2.204711,53.169711
1.234362,52.620868
-1.816816,51.574089
-4.6758,55.64328
-7.421253,54.951361
-1.485319,51.121026
-1.048331,53.788808
-0.312008,51.120672
-3.669515,55.691704
-9.053807,53.29556
-2.12112,53.504196
-5.2881,50.18531
-3.948668,56.121049
-3.827594,55.794966
-2.763145,53.459478
-3.815194,51.028624
-4.188822,53.094998
-1.35122,53.582581
-3.49053,56.41651
-2.18377,52.99171
-2.541103,51.473532
-3.29153,51.647239
-2.865839,53.442193
-2.077502,54.989484
-1.994939,50.798491
0.681832,51.236663
-2.712846,51.977662
-1.988756,52.572547
-3.091654,51.796709
-1.603372,53.422543
-2.25089,51.41722
-1.372654,52.9614
-2.050932,52.458373
-1.938101,53.711947
-2.678321,53.588032
-2.24235,53.79735
-3.435449,54.601659
-3.40836,56.46892
-2.1831,53.9115
-1.80984,52.440484
1.29754,51.28052
0.51793,52.74629
-2.113625,53.255227
-3.57908,55.11299
-2.14625,52.59385
-2.382803,51.347208
-2.387848,53.326771
-2.7061,53.50089
0.222296,52.602773
-1.404628,54.908639
-4.411093,56.352351
-3.05479,53.05085
-3.583877,51.515174
0.5256,51.33428
1.29268,52.71718
